admin2Name_en,admin2Name_da,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_da,admin2AltName2_da,admin1Name_en,admin1Name_da,admin1Pcode,admin0Name_en,admin0Name_da,admin0Pcode,date,validOn,ValidTo,regionName_en,regionName_da,regionCode
Ab Band,آب بند,AF1113,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Ab Kamari,آب کمری,AF3102,,,,,,Badghis,بادغیس,AF31,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Achin,اچین,AF0615,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Adraskan,ادرسکن,AF3209,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Ahmadaba,احمد آبا,AF1302,,,,,,Paktya,پکتیا,AF13,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Ajristan,اجرستان,AF1118,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Alasay,اله سای,AF0207,,,,,,Kapisa,کاپیسا,AF02,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Ali Abad,علی آباد,AF1903,,,,,,Kunduz,کندز,AF19,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Alingar,علینگار,AF0704,,,,,,Laghman,لغمان,AF07,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Alishang,علیشنگ,AF0703,,,,,,Laghman,لغمان,AF07,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Almar,المار,AF2904,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Anar Dara,انار دره,AF3307,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Anawa,عنابه,AF0805,,Onaba,,,,Panjsher,پنجشیر,AF08,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Andar,اندړ,AF1107,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Andarab,اندراب,AF0907,,Banu,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Andkhoy,اندخوی,AF2913,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Aqcha,آقچه,AF2807,,,,,,Jawzjan,جوزجان,AF28,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Arghandab,ارغنداب,AF2605,,,,,,Zabul,زابل,AF26,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Arghandab,ارغنداب,AF2702,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Arghanj Khwah,ارغنچخواه,AF1703,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Arghestan,ارغستان,AF2708,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Argo,ارگو,AF1702,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Asad Abad,اسد آباد,AF1501,,Centre,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Ashtarlay,اشترلی,AF2403,,Ishterlai,,,,Daykundi,دایکندی,AF24,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Atghar,اتغر,AF2608,,,,,,Zabul,زابل,AF26,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Aybak,ایبک,AF2001,,Centre,,,,Samangan,سمنگان,AF20,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Azra,ازره,AF0507,,,,,,Logar,لوگر,AF05,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Baghlan-e-Jadid,بغلان جدید,AF0905,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Baghran,باغران,AF3012,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Bagram,بگرام,AF0302,,,,,,Parwan,پروان,AF03,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Bagrami,بگرامی,AF0104,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Baharak,بهارک,AF1706,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Baharak,بهارک,AF1803,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Bak,باک,AF1409,,,,,,Khost,خوست,AF14,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Bakwa,بکواه,AF3308,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Bala Buluk,بالا بلوک,AF3306,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Bala Murghab,بالا مرغاب,AF3105,,,,,,Badghis,بادغیس,AF31,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Balkh,بلخ,AF2106,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Balkhab,بلخاب,AF2207,,,,,,Sar-e-Pul,سرپل,AF22,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Bamyan,بامیان,AF1001,,Centre,,,,Bamyan,بامیان,AF10,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Bangi,بنگی,AF1804,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Bar Kunar,برکنر,AF1508,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Baraki Barak,برکی برک,AF0502,,,,,,Logar,لوگر,AF05,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Barg-e-Matal,برگ متال,AF1608,,,,,,Nuristan,نورستان,AF16,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Barmal,برمل,AF1214,,,,,,Paktika,پکتیکا,AF12,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Bati Kot,بتی کوټ,AF0609,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Bazarak,بازارک,AF0801,,Centre,,,,Panjsher,پنجشیر,AF08,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Behsud,بهسود,AF0602,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Bilcheragh,بلچراغ,AF2905,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Burka,بورکه,AF0910,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Chahab,چاه آب,AF1816,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Chahar Asyab,چهار آسیاب,AF0103,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Chahar Darah,چهار دره,AF1902,,,,,,Kunduz,کندز,AF19,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Chak-e-Wardak,چک,AF0404,,Chak,,,,Maidan Wardak,میدان وردک,AF04,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Chakhansur,چخانسور,AF3403,,Asl-i-Chakhansur,,,,Nimroz,نیمروز,AF34,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Chal,چال,AF1805,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Chamkani,څمکنی,AF1310,,Samkani,,,,Paktya,پکتیا,AF13,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Chapa Dara,چپه دره,AF1513,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Chaparhar,چپر هار,AF0604,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Char Bolak,چار بولک,AF2111,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Char Burjak,چاربرجک,AF3404,,,,,,Nimroz,نیمروز,AF34,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Charikar,چاریکار,AF0301,,Centre,,,,Parwan,پروان,AF03,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Charkent,چار کنت,AF2104,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Charkh,چرخ,AF0503,,,,,,Logar,لوگر,AF05,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Charsadra,چار صد ره,AF2304,,,,,,Ghor,غور,AF23,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Chawkay,چوکی,AF1509,,Sawkai,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Chemtal,چمتال,AF2108,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Chisht-e-Sharif,چشت شریف,AF3216,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Chora,چوره,AF2503,,,,,,Uruzgan,ارزگان,AF25,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Dahana-e-Ghori,دهنۀ غوری,AF0902,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Daman,دامان,AF2703,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Dand Wa Patan,دند وپټان,AF1311,,,,,,Paktya,پکتیا,AF13,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Dangam,دانگام,AF1512,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Dara,دره,AF0803,,,,,,Panjsher,پنجشیر,AF08,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Dara-e-Nur,دره نور,AF0612,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Dara-e-Pech,دره پیچ,AF1507,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Dara-e-Suf-e-Bala,درۀ صوف بالا,AF2007,,,,,,Samangan,سمنگان,AF20,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Dara-e-Suf-e-Payin,درۀ صوف پائین,AF2006,,,,,,Samangan,سمنگان,AF20,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Darayem,درایم,AF1707,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Darqad,درقد,AF1815,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Darzab,درز آب,AF2811,,,,,,Jawzjan,جوزجان,AF28,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Dasht-e-Archi,دشت ارچی,AF1906,,,,,,Kunduz,کندز,AF19,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Dasht-e-Qala,دشت قلعه,AF1812,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Dawlat Abad,دولت آباد,AF2109,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Dawlat Abad,دولت آباد,AF2909,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Dawlatshah,دولت شاه,AF0705,,,,,,Laghman,لغمان,AF07,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Dawlatyar,دولت یار,AF2303,,,,,,Ghor,غور,AF23,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Dawraz-e-Bala,دروازبالا ( نیسی),AF1727,,Nusai,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Dawraz-e-Payin,درواز پائین (ما می ),AF1722,,Mai Mai,Dawraz,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Daychopan,دای چوپان,AF2607,,,,,,Zabul,زابل,AF26,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Daymirdad,دایمیرداد,AF0406,,,,,,Maidan Wardak,میدان وردک,AF04,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Deh-e-Shu,دیشو,AF3013,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Deh Bala,ده بالا,AF0610,,Haska Meyna,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Deh Sabz,ده سبز,AF0105,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Deh Salah,ده صلاح,AF0908,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Deh Yak,ده یک,AF1105,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Dehdadi,دهدادی,AF2103,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Dehrawud,دهراود,AF2502,,,,,,Uruzgan,ارزگان,AF25,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Dila,دیله,AF1216,,Dila Wa Khusamand,,,,Paktika,پکتیکا,AF12,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
DoLayna,دو لینه,AF2302,,,,,,Ghor,غور,AF23,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Doshi,دوشی,AF0903,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Duab,دو آب,AF1605,,,,,,Nuristan,نورستان,AF16,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Dur Baba,دُر بابا,AF0622,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Eshkashem,اشکاشم,AF1723,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Eshkmesh,اشکمش,AF1811,,Ishkamish,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Estalef,استالف,AF0113,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Farah,فراه,AF3301,,Centre,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Farkhar,فرخار,AF1808,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Farsi,فرسی,AF3215,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Farza,فرزه,AF0112,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Fayzabad,فیض آباد,AF1701,,Centre,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Fayzabad,فیض آباد,AF2808,,,,,,Jawzjan,جوزجان,AF28,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Fereng Wa Gharu,فرنگ وغارو,AF0915,,Fereng,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Feroz Koh,فیروزکوه,AF2301,,Chagcharan,Centre,,,Ghor,غور,AF23,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Feroz Nakhchir,فیروز نخچیر,AF2004,,,,,,Samangan,سمنگان,AF20,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Gardez,گردیز,AF1301,,Centre,,,,Paktya,پکتیا,AF13,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Garmser,گرم سیر,AF3006,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Garzewan,گرزیوان,AF2908,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Gelan,گیلان,AF1117,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Ghazi Abad,غازی آباد,AF1511,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Ghazni,غزنی,AF1101,,Centre,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Ghorak,غورک,AF2709,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Ghorband,غوربند,AF0307,,Syah Gird,,,,Parwan,پروان,AF03,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Ghormach,غورماچ,AF3107,,,,,,Badghis,بادغیس,AF31,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Ghoryan,غوریان,AF3211,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Giro,گیرو,AF1112,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Giyan,گیان,AF1215,,,,,,Paktika,پکتیکا,AF12,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Gizab,گیزاب,AF2409,,Patoo,,,,Daykundi,دایکندی,AF24,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Gomal,گومل,AF1208,,,,,,Paktika,پکتیکا,AF12,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Gosfandi,گوسفندی,AF2206,,,,,,Sar-e-Pul,سرپل,AF22,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Goshta,گوشته,AF0614,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Guldara,گلدره,AF0111,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
