admin2Name_en,admin2Name_da,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_da,admin2AltName2_da,admin1Name_en,admin1Name_da,admin1Pcode,admin0Name_en,admin0Name_da,admin0Pcode,date,validOn,ValidTo,regionName_en,regionName_da,regionCode
Gulistan,گلستان,AF3310,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Gulran,گلران,AF3208,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Gurbuz,گربز,AF1403,,,,,,Khost,خوست,AF14,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Guzara,گذره,AF3203,,Nizam-i-Shahid,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Guzargah-e-Nur,گذرگاه نور,AF0914,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Hazar Sumuch,هزار سموچ,AF1802,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Hazrat-e-Sultan,حضرت سلطان,AF2002,,,,,,Samangan,سمنگان,AF20,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Hesa-e-Awal-e-Behsud,حصه اول بهسود,AF0407,,,,,,Maidan Wardak,میدان وردک,AF04,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Hesarak,حصارک,AF0621,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Hirat,هرات,AF3201,,Centre,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Hisa-e-Awal-e-Kohistan,حصه اول کوهستان,AF0204,,,,,,Kapisa,کاپیسا,AF02,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Hisa-e-Duwum-e-Kohistan,حصه دوم کوهستان,AF0202,,,,,,Kapisa,کاپیسا,AF02,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Imam Sahib,امام صاحب,AF1905,,Hazrati Imam Sahib,Kalbad,,,Kunduz,کندز,AF19,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Injil,انجیل,AF3202,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Jabal Saraj,جبل السراج,AF0305,,,,,,Parwan,پروان,AF03,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Jaghatu,جغتو,AF0408,,,,,,Maidan Wardak,میدان وردک,AF04,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Jaghatu,جغتو,AF1106,,Bahrami Shahid,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Jaghuri,جاغوری,AF1114,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Jaji,علی خیل,AF1307,,Alikhel,Aryob,,,Paktya,پکتیا,AF13,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Jaji Maydan,جاجی میدان,AF1413,,,,,,Khost,خوست,AF14,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Jalalabad,جلال آباد,AF0601,,Centre,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Jalrez,جلریز,AF0403,,,,,,Maidan Wardak,میدان وردک,AF04,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Jani Khel,جانی خیل,AF1209,,,,,,Paktika,پکتیکا,AF12,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Jani Khel,جانی خیل,AF1309,,Mangal,,,,Paktya,پکتیا,AF13,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Jawand,جوند,AF3106,,,,,,Badghis,بادغیس,AF31,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Jorm,جرم,AF1710,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Kabul,کابل,AF0101,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Kahmard,کهمرد,AF1004,,,,,,Bamyan,بامیان,AF10,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Kajaki,کجکی,AF3010,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Kajran,کجران,AF2408,,,,,,Daykundi,دایکندی,AF24,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Kakar,کاکړ,AF2611,,Khak-e-Afghan,,,,Zabul,زابل,AF26,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Kalafgan,کلفگان,AF1807,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Kalakan,کلکان,AF0110,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Kaldar,کلدار,AF2113,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Kama,کامه,AF0605,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Kamdesh,کامدیش,AF1606,,,,,,Nuristan,نورستان,AF16,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Kandahar,کندهار,AF2701,,Centre,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Kang,کنگ,AF3402,,,,,,Nimroz,نیمروز,AF34,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Karukh,کرُخ,AF3204,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Keshem,کشم,AF1715,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Keshendeh,کشنده,AF2114,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Khadir,خدیر,AF2404,,,,,,Daykundi,دایکندی,AF24,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Khak-e-Jabbar,خاک جبار,AF0109,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Khak-e-Safed,خاک سفید,AF3303,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Khakrez,خاکریز,AF2707,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Khamyab,خمیاب,AF2806,,Kham Ab,,,,Jawzjan,جوزجان,AF28,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Khan-e-Char Bagh,خان چارباغ,AF2914,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Khan Abad,خان آباد,AF1904,,,,,,Kunduz,کندز,AF19,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Khanaqa,خانقا,AF2803,,,,,,Jawzjan,جوزجان,AF28,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Kharwar,خروار,AF0506,,,,,,Logar,لوگر,AF05,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Khas Kunar,خاص کنر,AF1510,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Khas Uruzgan,خاص ارزگان,AF2505,,,,,,Uruzgan,ارزگان,AF25,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Khash,خاش,AF1705,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Khashrod,خاش رود,AF3405,,,,,,Nimroz,نیمروز,AF34,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Khenj,خنج (حصه اول),AF0804,,Hisa-e-Awal,,,,Panjsher,پنجشیر,AF08,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Khinjan,خنجان,AF0906,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Khogyani,خوگیانی,AF0608,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Khoshi,خوشی,AF0504,,,,,,Logar,لوگر,AF05,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Khost Wa Fereng,خوست و فرنگ,AF0913,,Khost,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Khulm,خلم,AF2110,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Khuram Wa Sarbagh,خرم وسارباغ,AF2003,,,,,,Samangan,سمنگان,AF20,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Khwahan,خواهان,AF1720,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Khwaja Bahawuddin,خواجه بهاوالدین,AF1814,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Khwaja Dukoh,خواجه دوکوه,AF2802,,,,,,Jawzjan,جوزجان,AF28,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Khwaja Ghar,خواجه غار,AF1809,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Khwaja Hejran,خواجه هجران,AF0909,,Jalga,Jalga Nahrin,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Khwaja Sabz Posh,خواجه سبزپوش,AF2903,,Khwaja Sabz Posh-i-Wali,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Khwaja Umari,خواجه عمری,AF1103,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Kiti,کیتی,AF2405,,,,,,Daykundi,دایکندی,AF24,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Kofab,کوف آب,AF1721,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Koh-e-Safi,کوه صافی,AF0308,,,,,,Parwan,پروان,AF03,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Koh Band,کوه بند,AF0203,,,,,,Kapisa,کاپیسا,AF02,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Kohestanat,کوهستانات,AF2203,,,,,,Sar-e-Pul,سرپل,AF22,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Kohistan,کوهستان,AF1708,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Kohistan,کوهستان,AF2910,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Kohsan,کوهسان,AF3213,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Koran Wa Monjan,کران ومنجان,AF1726,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Kot,کوټ,AF0613,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Kunduz,کندز,AF1901,,Centre,,,,Kunduz,کندز,AF19,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Kushk,کُشک,AF3207,,Rubat-i-Sangi,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Kushk-e-Kuhna,کُشک کهنه,AF3210,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Kuz Kunar,کوز کنر,AF0606,,Khewa,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Lal Wa Sarjangal,لعل و سرجنگل,AF2307,,,,,,Ghor,غور,AF23,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Lalpur,لعل پور,AF0618,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Lash-e-Juwayn,لاش جوین,AF3309,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Lashkargah,لشکرگاه,AF3001,,Centre,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Lija Ahmad Khel,لجه احمد خیل,AF1308,,,,,,Paktya,پکتیا,AF13,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Mahmood-e-Raqi,محمود راقی,AF0201,,Centre,,,,Kapisa,کاپیسا,AF02,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Malistan,مالستان,AF1116,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Mandol,مندول,AF1607,,,,,,Nuristan,نورستان,AF16,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Mandozayi,مندوزائی,AF1402,,Ishmail Khail,,,,Khost,خوست,AF14,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Marawara,مروره,AF1502,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Mardyan,مردیان,AF2809,,,,,,Jawzjan,جوزجان,AF28,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Markaz-e-Behsud,مدکز بهسود,AF0409,,,,,,Maidan Wardak,میدان وردک,AF04,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Marmul,مارمُل,AF2105,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Maruf,معروف,AF2715,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Mata Khan,متاخان,AF1202,,,,,,Paktika,پکتیکا,AF12,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Matun,خوست (متون),AF1401,,Khost,Centre,,,Khost,خوست,AF14,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Maydan Shahr,میدان شهر,AF0401,,Centre,,,,Maidan Wardak,میدان وردک,AF04,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Maymana,میمنه,AF2901,,Centre,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Maywand,میوند,AF2710,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Mazar-e-Sharif,مزار شریف,AF2101,,Mazar,Centre,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Mehtarlam,مهتر لام,AF0701,,Laghman Centre,Centre,,,Laghman,لغمان,AF07,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Mingajik,منگجک,AF2804,,Farary,,,,Jawzjan,جوزجان,AF28,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Mir Bacha Kot,میر بچه کوت,AF0108,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Miramor,میرامور,AF2406,,,,,,Daykundi,دایکندی,AF24,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Miyanshin,میانشین,AF2713,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Mizan,میزان,AF2604,,,,,,Zabul,زابل,AF26,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Mohammad Agha,محمدآغه,AF0505,,,,,,Logar,لوگر,AF05,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Muhmand Dara,مهمند دره,AF0617,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Muqur,مقر,AF1115,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Muqur,مقر,AF3103,,,,,,Badghis,بادغیس,AF31,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Musa Khel,موسی خیل,AF1405,,,,,,Khost,خوست,AF14,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Musa Qala,موسی قلعه,AF3009,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Musahi,موسهی,AF0107,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Nad-e-Ali,نادعلی,AF3002,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Nadir Shah Kot,نادرشاه کوت,AF1406,,,,,,Khost,خوست,AF14,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Nahr-e-Saraj,نهر سراج,AF3004,,Grishk,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Nahr-e-Shahi,نهر شاهی,AF2102,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Nahrin,نهرین,AF0904,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Namak Ab,نمک آب,AF1806,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Narang,نرنگ,AF1504,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Nari,ناړی,AF1515,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Nawa,ناوه,AF1119,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Nawa-e-Barakzaiy,ناوه بارکزائی,AF3003,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Nawbahar,نوبهار,AF2609,,,,,,Zabul,زابل,AF26,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Nawur,ناور,AF1110,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Nawzad,نوزاد,AF3007,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Nazyan,نازیان,AF0620,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Nerkh,نرخ,AF0402,,,,,,Maidan Wardak,میدان وردک,AF04,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Nesh,نیش,AF2712,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Nijrab,نجراب,AF0205,,,,,,Kapisa,کاپیسا,AF02,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Nika,نیکه,AF1213,,Neka,Naka,,,Paktika,پکتیکا,AF12,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
