admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Boucle du Mouhoun,BF46,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Cascades,BF47,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Centre,BF13,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Centre-Est,BF48,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Centre-Nord,BF49,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Centre-Ouest,BF50,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Centre-Sud,BF51,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Est,BF52,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Hauts-Bassins,BF53,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Nord,BF54,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Plateau Central,BF55,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Sahel,BF56,,,,Burkina Faso,BF,2018-07-05,2018-08-14,
Sud-Ouest,BF57,,,,Burkina Faso,BF,2018-07-05,2018-08-14,