admin2Name_en,admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_fr,admin2AltName2_fr,admin1Name_en,admin1Name_fr,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
,Bamboutos,CM008001,,,,,,West,Ouest,CM008,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Bénoué,CM006001,Benoue,,,,,North,Nord,CM006,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Boumba-et-Ngoko,CM003001,,,,,,East,Est,CM003,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Boyo,CM007001,,,,,,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Bui,CM007002,,,,,,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Diamaré,CM004001,Diamare,,,,,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Dja-et-Lobo,CM009001,,,,,,South,Sud,CM009,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Djérem,CM001001,Djerem,,,,,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Donga-Mantung,CM007003,,,,,,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Fako,CM010001,,,,,,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Faro,CM006002,,,,,,North,Nord,CM006,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Faro-et-Déo,CM001002,Faro-et-Deo,,,,,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Haut-Nkam,CM008002,,,,,,West,Ouest,CM008,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Haut-Nyong,CM003002,,,,,,East,Est,CM003,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Haute-Sanaga,CM002001,,,,,,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Hauts-Plateaux,CM008003,,,,,,West,Ouest,CM008,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Kadey,CM003003,,,,,,East,Est,CM003,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Koung-Khi,CM008004,,,,,,West,Ouest,CM008,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Kupe-Manenguba,CM010002,,,,,,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Lebialem,CM010003,,,,,,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Lekié,CM002002,Lekie,,,,,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Logone-et-Chari,CM004002,,,,,,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Lom-et-Djérem,CM003004,Lom-et-Djerem,,,,,East,Est,CM003,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Manyu,CM010004,,,,,,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mayo-Banyo,CM001003,,,,,,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mayo-Danay,CM004003,,,,,,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mayo-Kani,CM004004,,,,,,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mayo-Louti,CM006003,,,,,,North,Nord,CM006,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mayo-Rey,CM006004,,,,,,North,Nord,CM006,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mayo-Sava,CM004005,,,,,,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mayo-Tsanaga,CM004006,,,,,,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mbam-et-Inoubou,CM002003,,,,,,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mbam-et-Kim,CM002004,,,,,,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mbéré,CM001004,Mbere,,,,,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mefou-et-Afamba,CM002005,,,,,,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mefou-et-Akono,CM002006,,,,,,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Meme,CM010005,,,,,,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Menchum,CM007004,,,,,,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Menoua,CM008005,,,,,,West,Ouest,CM008,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mezam,CM007005,,,,,,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mfoundi,CM002007,,,,,,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mifi,CM008006,,,,,,West,Ouest,CM008,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Momo,CM007006,,,,,,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Moungo,CM005001,,,,,,Littoral,Littoral,CM005,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Mvila,CM009002,,,,,,South,Sud,CM009,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Ndé,CM008007,Nde,,,,,West,Ouest,CM008,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Ndian,CM010006,,,,,,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Ngo-Ketunjia,CM007007,,,,,,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Nkam,CM005002,,,,,,Littoral,Littoral,CM005,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Noun,CM008008,,,,,,West,Ouest,CM008,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Nyong-et-Kellé,CM002008,Nyong-et-Kelle,,,,,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Nyong-et-Mfoumou,CM002009,,,,,,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Nyong-et-So'o,CM002010,Nyong-et-Soo,,,,,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Océan,CM009003,Ocean,,,,,South,Sud,CM009,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Sanaga-Maritime,CM005003,,,,,,Littoral,Littoral,CM005,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Vallée-du-Ntem,CM009004,Vallee-du-Ntem,,,,,South,Sud,CM009,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Vina,CM001005,,,,,,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Wouri,CM005004,,,,,,Littoral,Littoral,CM005,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
