admin1Name_pt,admin1Pcode,admin1RefName,admin1AltName1_pt,admin1AltName2_pt,admin0Name_en,admin0Name_pt,admin0Pcode,date,validOn,validTo,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Delgado,MZ01,,,,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaza,MZ02,,,,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inhambane,MZ03,,,,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manica,MZ04,,,,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maputo,MZ05,,,,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maputo City,MZ06,,,,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nampula,MZ07,,,,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niassa,MZ08,,,,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofala,MZ09,,,,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tete,MZ10,,,,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambezia,MZ11,,,,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,