SenDist_en,SenDistPcode,SenDistRefName,SenDistAltName1_en,SenDistAltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Abia Central,NG00101,Abia Central,,,Abia,NG001,Nigeria,NG,2019-03-11,2019-04-17,
Abia North,NG00102,Abia North,,,Abia,NG001,Nigeria,NG,2019-03-11,2019-04-17,
Abia South,NG00103,Abia South,,,Abia,NG001,Nigeria,NG,2019-03-11,2019-04-17,
Adamawa Central,NG00201,Adamawa Central,,,Adamawa,NG002,Nigeria,NG,2019-03-11,2019-04-17,
Adamawa North,NG00202,Adamawa North,,,Adamawa,NG002,Nigeria,NG,2019-03-11,2019-04-17,
Adamawa South,NG00203,Adamawa South,,,Adamawa,NG002,Nigeria,NG,2019-03-11,2019-04-17,
Akwa Ibom North East,NG00301,Akwa Ibom North East,,,Akwa Ibom,NG003,Nigeria,NG,2019-03-11,2019-04-17,
Akwa Ibom North West,NG00302,Akwa Ibom North West,,,Akwa Ibom,NG003,Nigeria,NG,2019-03-11,2019-04-17,
Akwa Ibom South,NG00303,Akwa Ibom South,,,Akwa Ibom,NG003,Nigeria,NG,2019-03-11,2019-04-17,
Anambra Central,NG00401,Anambra Central,,,Anambra,NG004,Nigeria,NG,2019-03-11,2019-04-17,
Anambra North,NG00402,Anambra North,,,Anambra,NG004,Nigeria,NG,2019-03-11,2019-04-17,
Anambra South,NG00403,Anambra South,,,Anambra,NG004,Nigeria,NG,2019-03-11,2019-04-17,
Bauchi Central,NG00501,Bauchi Central,,,Bauchi,NG005,Nigeria,NG,2019-03-11,2019-04-17,
Bauchi North,NG00502,Bauchi North,,,Bauchi,NG005,Nigeria,NG,2019-03-11,2019-04-17,
Bauchi South,NG00503,Bauchi South,,,Bauchi,NG005,Nigeria,NG,2019-03-11,2019-04-17,
Bayelsa Central,NG00601,Bayelsa Central,,,Bayelsa,NG006,Nigeria,NG,2019-03-11,2019-04-17,
Bayelsa East,NG00602,Bayelsa East,,,Bayelsa,NG006,Nigeria,NG,2019-03-11,2019-04-17,
Bayelsa West,NG00603,Bayelsa West,,,Bayelsa,NG006,Nigeria,NG,2019-03-11,2019-04-17,
Benue North East,NG00701,Benue North East,,,Benue,NG007,Nigeria,NG,2019-03-11,2019-04-17,
Benue North West,NG00702,Benue North West,,,Benue,NG007,Nigeria,NG,2019-03-11,2019-04-17,
Benue South,NG00703,Benue South,,,Benue,NG007,Nigeria,NG,2019-03-11,2019-04-17,
Borno Central,NG00801,Borno Central,,,Borno,NG008,Nigeria,NG,2019-03-11,2019-04-17,
Borno North,NG00802,Borno North,,,Borno,NG008,Nigeria,NG,2019-03-11,2019-04-17,
Borno South,NG00803,Borno South,,,Borno,NG008,Nigeria,NG,2019-03-11,2019-04-17,
Cross River Central,NG00901,Cross River Central,,,Cross River,NG009,Nigeria,NG,2019-03-11,2019-04-17,
Cross River North,NG00902,Cross River North,,,Cross River,NG009,Nigeria,NG,2019-03-11,2019-04-17,
Cross River South,NG00903,Cross River South,,,Cross River,NG009,Nigeria,NG,2019-03-11,2019-04-17,
Delta Central,NG01001,Delta Central,,,Delta,NG010,Nigeria,NG,2019-03-11,2019-04-17,
Delta North,NG01002,Delta North,,,Delta,NG010,Nigeria,NG,2019-03-11,2019-04-17,
Delta South,NG01003,Delta South,,,Delta,NG010,Nigeria,NG,2019-03-11,2019-04-17,
Ebonyi South,NG01101,Ebonyi South,,,Ebonyi,NG011,Nigeria,NG,2019-03-11,2019-04-17,
Ebonyi Central,NG01102,Ebonyi Central,,,Ebonyi,NG011,Nigeria,NG,2019-03-11,2019-04-17,
Ebonyi North,NG01103,Ebonyi North,,,Ebonyi,NG011,Nigeria,NG,2019-03-11,2019-04-17,
Edo South,NG01201,Edo South,,,Edo,NG012,Nigeria,NG,2019-03-11,2019-04-17,
Edo Central,NG01202,Edo Central,,,Edo,NG012,Nigeria,NG,2019-03-11,2019-04-17,
Edo North,NG01203,Edo North,,,Edo,NG012,Nigeria,NG,2019-03-11,2019-04-17,
Ekiti South,NG01301,Ekiti South,,,Ekiti,NG013,Nigeria,NG,2019-03-11,2019-04-17,
Ekiti Central,NG01302,Ekiti Central,,,Ekiti,NG013,Nigeria,NG,2019-03-11,2019-04-17,
Ekiti North,NG01303,Ekiti North,,,Ekiti,NG013,Nigeria,NG,2019-03-11,2019-04-17,
Enugu North,NG01401,Enugu North,,,Enugu,NG014,Nigeria,NG,2019-03-11,2019-04-17,
Enugu East,NG01402,Enugu East,,,Enugu,NG014,Nigeria,NG,2019-03-11,2019-04-17,
Enugu West,NG01403,Enugu West,,,Enugu,NG014,Nigeria,NG,2019-03-11,2019-04-17,
Federal Capital Territory,NG01501,Federal Capital Territory,,,Federal Capital Territory,NG015,Nigeria,NG,2019-03-11,2019-04-17,
Gombe Central,NG01601,Gombe Central,,,Gombe,NG016,Nigeria,NG,2019-03-11,2019-04-17,
Gombe North,NG01602,Gombe North,,,Gombe,NG016,Nigeria,NG,2019-03-11,2019-04-17,
Gombe South,NG01603,Gombe South,,,Gombe,NG016,Nigeria,NG,2019-03-11,2019-04-17,
Imo East,NG01701,Imo East,,,Imo,NG017,Nigeria,NG,2019-03-11,2019-04-17,
Imo North,NG01702,Imo North,,,Imo,NG017,Nigeria,NG,2019-03-11,2019-04-17,
Imo West,NG01703,Imo West,,,Imo,NG017,Nigeria,NG,2019-03-11,2019-04-17,
Jigawa North-East,NG01801,Jigawa North-East,,,Jigawa,NG018,Nigeria,NG,2019-03-11,2019-04-17,
Jigawa North-West,NG01802,Jigawa North-West,,,Jigawa,NG018,Nigeria,NG,2019-03-11,2019-04-17,
Jigawa South-West,NG01803,Jigawa South-West,,,Jigawa,NG018,Nigeria,NG,2019-03-11,2019-04-17,
Kaduna Central,NG01901,Kaduna Central,,,Kaduna,NG019,Nigeria,NG,2019-03-11,2019-04-17,
Kaduna North,NG01902,Kaduna North,,,Kaduna,NG019,Nigeria,NG,2019-03-11,2019-04-17,
Kaduna South,NG01903,Kaduna South,,,Kaduna,NG019,Nigeria,NG,2019-03-11,2019-04-17,
Kano South,NG02001,Kano South,,,Kano,NG020,Nigeria,NG,2019-03-11,2019-04-17,
Kano Central,NG02002,Kano Central,,,Kano,NG020,Nigeria,NG,2019-03-11,2019-04-17,
Kano North,NG02003,Kano North,,,Kano,NG020,Nigeria,NG,2019-03-11,2019-04-17,
Katsina Central,NG02101,Katsina Central,,,Katsina,NG021,Nigeria,NG,2019-03-11,2019-04-17,
Katsina North,NG02102,Katsina North,,,Katsina,NG021,Nigeria,NG,2019-03-11,2019-04-17,
Katsina South,NG02103,Katsina South,,,Katsina,NG021,Nigeria,NG,2019-03-11,2019-04-17,
Kebbi Central,NG02201,Kebbi Central,,,Kebbi,NG022,Nigeria,NG,2019-03-11,2019-04-17,
Kebbi North,NG02202,Kebbi North,,,Kebbi,NG022,Nigeria,NG,2019-03-11,2019-04-17,
Kebbi South,NG02203,Kebbi South,,,Kebbi,NG022,Nigeria,NG,2019-03-11,2019-04-17,
Kogi Central,NG02301,Kogi Central,,,Kogi,NG023,Nigeria,NG,2019-03-11,2019-04-17,
Kogi East,NG02302,Kogi East,,,Kogi,NG023,Nigeria,NG,2019-03-11,2019-04-17,
Kogi West,NG02303,Kogi West,,,Kogi,NG023,Nigeria,NG,2019-03-11,2019-04-17,
Kwara Central,NG02401,Kwara Central,,,Kwara,NG024,Nigeria,NG,2019-03-11,2019-04-17,
Kwara North,NG02402,Kwara North,,,Kwara,NG024,Nigeria,NG,2019-03-11,2019-04-17,
Kwara South,NG02403,Kwara South,,,Kwara,NG024,Nigeria,NG,2019-03-11,2019-04-17,
Lagos West,NG02501,Lagos West,,,Lagos,NG025,Nigeria,NG,2019-03-11,2019-04-17,
Lagos Central,NG02502,Lagos Central,,,Lagos,NG025,Nigeria,NG,2019-03-11,2019-04-17,
Lagos East,NG02503,Lagos East,,,Lagos,NG025,Nigeria,NG,2019-03-11,2019-04-17,
Nassarawa South,NG02601,Nassarawa South,,,Nasarawa,NG026,Nigeria,NG,2019-03-11,2019-04-17,
Nassarawa North,NG02602,Nassarawa North,,,Nasarawa,NG026,Nigeria,NG,2019-03-11,2019-04-17,
Nassarawa West,NG02603,Nassarawa West,,,Nasarawa,NG026,Nigeria,NG,2019-03-11,2019-04-17,
Niger East,NG02701,Niger East,,,Niger,NG027,Nigeria,NG,2019-03-11,2019-04-17,
Niger North,NG02702,Niger North,,,Niger,NG027,Nigeria,NG,2019-03-11,2019-04-17,
Niger South,NG02703,Niger South,,,Niger,NG027,Nigeria,NG,2019-03-11,2019-04-17,
Ogun Central,NG02801,Ogun Central,,,Ogun,NG028,Nigeria,NG,2019-03-11,2019-04-17,
Ogun East,NG02802,Ogun East,,,Ogun,NG028,Nigeria,NG,2019-03-11,2019-04-17,
Ogun West,NG02803,Ogun West,,,Ogun,NG028,Nigeria,NG,2019-03-11,2019-04-17,
Ondo Central,NG02901,Ondo Central,,,Ondo,NG029,Nigeria,NG,2019-03-11,2019-04-17,
Ondo North,NG02902,Ondo North,,,Ondo,NG029,Nigeria,NG,2019-03-11,2019-04-17,
Ondo South,NG02903,Ondo South,,,Ondo,NG029,Nigeria,NG,2019-03-11,2019-04-17,
Osun Central,NG03001,Osun Central,,,Osun,NG030,Nigeria,NG,2019-03-11,2019-04-17,
Osun East,NG03002,Osun East,,,Osun,NG030,Nigeria,NG,2019-03-11,2019-04-17,
Osun West,NG03003,Osun West,,,Osun,NG030,Nigeria,NG,2019-03-11,2019-04-17,
Oyo Central,NG03101,Oyo Central,,,Oyo,NG031,Nigeria,NG,2019-03-11,2019-04-17,
Oyo North,NG03102,Oyo North,,,Oyo,NG031,Nigeria,NG,2019-03-11,2019-04-17,
Oyo South,NG03103,Oyo South,,,Oyo,NG031,Nigeria,NG,2019-03-11,2019-04-17,
Plateau Central,NG03201,Plateau Central,,,Plateau,NG032,Nigeria,NG,2019-03-11,2019-04-17,
Plateau North,NG03202,Plateau North,,,Plateau,NG032,Nigeria,NG,2019-03-11,2019-04-17,
Plateau South,NG03203,Plateau South,,,Plateau,NG032,Nigeria,NG,2019-03-11,2019-04-17,
Rivers East,NG03301,Rivers East,,,Rivers,NG033,Nigeria,NG,2019-03-11,2019-04-17,
Rivers South East,NG03302,Rivers South East,,,Rivers,NG033,Nigeria,NG,2019-03-11,2019-04-17,
Rivers West,NG03303,Rivers West,,,Rivers,NG033,Nigeria,NG,2019-03-11,2019-04-17,
Sokoto East,NG03401,Sokoto East,,,Sokoto,NG034,Nigeria,NG,2019-03-11,2019-04-17,
Sokoto North,NG03402,Sokoto North,,,Sokoto,NG034,Nigeria,NG,2019-03-11,2019-04-17,
Sokoto South,NG03403,Sokoto South,,,Sokoto,NG034,Nigeria,NG,2019-03-11,2019-04-17,
Taraba Central,NG03501,Taraba Central,,,Taraba,NG035,Nigeria,NG,2019-03-11,2019-04-17,
Taraba North,NG03502,Taraba North,,,Taraba,NG035,Nigeria,NG,2019-03-11,2019-04-17,
Taraba South,NG03503,Taraba South,,,Taraba,NG035,Nigeria,NG,2019-03-11,2019-04-17,
Yobe East,NG03601,Yobe East,,,Yobe,NG036,Nigeria,NG,2019-03-11,2019-04-17,
Yobe North,NG03602,Yobe North,,,Yobe,NG036,Nigeria,NG,2019-03-11,2019-04-17,
Yobe South,NG03603,Yobe South,,,Yobe,NG036,Nigeria,NG,2019-03-11,2019-04-17,
Zamfara Central,NG03701,Zamfara Central,,,Zamfara,NG037,Nigeria,NG,2019-03-11,2019-04-17,
Zamfara North,NG03702,Zamfara North,,,Zamfara,NG037,Nigeria,NG,2019-03-11,2019-04-17,
Zamfara West,NG03703,Zamfara West,,,Zamfara,NG037,Nigeria,NG,2019-03-11,2019-04-17,
